
['{C(=O)(-H)(-Cl)} + {H-O-H}', ['C', 'Cl', 'H', 'H', 'H', 'O', 'O'], [[0, 1, 1, 0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0, 0, 0]], '{C(=O)(-H)(-O-H)} + {H-Cl}', 'A--B + C--D', 'A--D + B--C']
['{P(=O)(-H)(-O-H)(-O-H)} + {H-H}', ['H', 'H', 'H', 'H', 'H', 'O', 'O', 'O', 'P'], [[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0]], '{P(=O)(-H)(-O-H)(-H)} + {H-O-H}', 'A--B + C--D', 'A--D + B--C']
['{O=O.2-O.6} + {H-H}', ['H', 'H', 'O', 'O', 'O'], [[0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 2, 2, 1, 0, 0], [0, 0, 0, 1, 6, 0, 0]], '{O=O.4} + {H-O-H}', 'A--B + C(.2)--D(.6)', 'A--D--B + C(.4)']
['{C(=O)(-H)(-H)} + {N(-H)(-H)(-N(-H)(-H))}', ['C', 'H', 'H', 'H', 'H', 'H', 'H', 'N', 'N', 'O'], [[0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]], '{C(-H)(-H)(=N(-N(-H)(-H))} + {H-O-H}', 'A=B + C--D--E', 'A=D + C--B--E']
['{C(=O)(-H)(-H)} + {H.1}', ['C', 'H', 'H', 'H', 'O'], [[0, 1, 1, 0, 2, 0, 0], [1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0]], '{C(-H)(-H)(-H)(-O.1)}', 'A=B + C(.1)', 'A(--B(.1))(--C)']
['{C(-H)(-H)(-H)(-C(=O)(-O-C(=O)(-C(-H)(-H)(-H))))} + {N(-H)(-H)(-H)}', ['C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'N', 'O', 'O', 'O'], [[0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]], '{C(-H)(-H)(-H)(-C(=O)(-N(-H)(-H)))} + {C(-H)(-H)(-H)(-C(=O)(-O-H))}', 'A--B + C--D', 'A--D + C--B']
['{C(-H)(-H)(-H)(-H)} + {N(=O)(-O)(-O-H)}', ['C', 'H', 'H', 'H', 'H', 'H', 'N', 'O', 'O', 'O'], [[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]], '{C(-H)(-H)(-H)(-N(=O)(-O))} + {H-O-H}', 'A--B + C--D', 'A--C + B--D']
['{C(=O)(-H)(-N(-H)(-H))} + {S(=O)(-Cl)(-Cl)}', ['C', 'Cl', 'Cl', 'H', 'H', 'H', 'N', 'O', 'O', 'S'], [[0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0]], '{C(-H)(#N)} + {H-Cl} + {H-Cl} + {S(=O)(=O)}', 'A(=E)(--B(--D)(--C)) + F--G--H', 'A#B + F--C + H--D + E=G']
['{C(-H)(-H)(-H)(-C(-H)(-H)(-O-H))} + {O=O}', ['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'O', 'O', 'O'], [[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]], '{C(-H)(-H)(-H)(-C(=O)(-O-H))} + {H-O-H}', 'A(--C)(--B) + D=E', 'A=D + B--E--C']
['{C(-H)(=O)(-O-C(-H)(=O))} + {H-O-H}', ['C', 'C', 'H', 'H', 'H', 'H', 'O', 'O', 'O', 'O'], [[0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]], '{C(-H)(=O)(-O-H)} + {C(-H)(=O)(-O-H)}', 'A--B + C--D', 'A--D + C--B']
['{H-C(=O)(-F)} + {H-H}', ['C', 'F', 'H', 'H', 'H', 'O'], [[0, 1, 1, 0, 0, 2, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0]], '{H-C(-H)(-O-H)(-F)}', 'A=B + C--D', 'A(--B--D)(--C)']
['{C(-H)(-H)(=C(-H)(-H))} + {H-H}', ['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H'], [[0, 2, 1, 1, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0]], '{C(-H)(-H)(-H)(-C(-H)(-H)(-H))}', 'A=B + C--D', 'A(--C)(--B--D)']
['{C(-H)(-H)(=C(-H)(-H)} + {H-O-H}', ['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'O'], [[0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]], '{C(-H)(-H)(-H)(-C(-H)(-H)(-O-H))}', 'A=B + C--D', 'A(--C)(--B--D)']
['{C.4} + {O=O}', ['C', 'O', 'O'], [[4, 0, 0, 0, 0], [0, 0, 2, 0, 0], [0, 2, 0, 0, 0]], '{C(=O)(=O)}', 'A(.4) + B=C', 'A(=C)(=B)']
