['{N.2(-H)(-H)(-H)} + {H-O-H}', ['H', 'H', 'H', 'H', 'H', 'N', 'O'], [[0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0, 0, 0]], '{N+1(-H)(-H)(-H)(~H)} + {O-1-H}', 'A--B + C(.2)', 'A<~C(+1) + B(-1)']
['{C(-H)(-H)(-Cl)(-Cl)} + {Cl-Cl}', ['C', 'Cl', 'Cl', 'Cl', 'Cl', 'H', 'H'], [[0, 1, 1, 0, 0, 1, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]], '{C(-H)(-Cl)(-Cl)(-Cl)} + {H-Cl}', 'A--B + C--D', 'A--C + D--B']
['{C.4} + {H.1}', ['C', 'H'], [[4, 0, 0, 0], [0, 1, 0, 0]], '{C.3-H}', 'A(.4) + B(.1)', 'A(.3)--B']
['{H-S.2-H} + {H-O-O-H}', ['H', 'H', 'H', 'H', 'O', 'O', 'S'], [[0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 2, 0, 0]], '{H-S(=O)(-H)} + {H-O-H}', 'A--B--C + D(.2)', 'A--C + B=D']
['{Br-O-H} + {H-H}', ['Br', 'H', 'H', 'H', 'O'], [[0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0]], '{H-Br} + {H-O-H}', 'A--B + C--D', 'A--C + D--B']
['{C.1(-O-H)(-O-H)(-H)} + {H-O-H}', ['C', 'H', 'H', 'H', 'H', 'H', 'O', 'O', 'O'], [[1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]], '{C(=O)(-O-H)(-H)} + {H-O-H} + {H.1}', 'A(.1)--B + C--D--E', 'A=D + C--B + E(.1)']
['{C(-H)(-H)(-H)(-Cl)} + {Cl-Cl}', ['C', 'Cl', 'Cl', 'Cl', 'H', 'H', 'H'], [[0, 1, 0, 0, 1, 1, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]], '{C(-H)(-H)(-Cl)(-Cl)} + {H-Cl}', 'A--B + C--D', 'A--C + D--B']
['{H-H} + {Br-Br}', ['Br', 'Br', 'H', 'H'], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]], '{H-Br} + {H-Br}', 'A--B + C--D', 'A--C + B--D']
['{H-Cl} + {H-O.1-H}', ['Cl', 'H', 'H', 'H', 'O'], [[0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 1, 1, 0, 0]], '{O+1(-H)(-H)(-H)} + {Cl-1}', 'A--B + C(.1)', 'A(-1) + B--C(+1)']
['{C.1(-H)(-H)(-H)} + {Cl-Cl}', ['C', 'Cl', 'Cl', 'H', 'H', 'H'], [[1, 0, 0, 1, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]], '{C(-H)(-H)(-H)(-Cl)} + {Cl.1}', 'A(.1) + B--C', 'A--B + C(.1)']
